                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.34528,                0.23194,                0.84396,                0.97773,                0.94377,                0.97268,                0.91725,                0.26264,                0.17342,                0.85029,              0.0030205,              0.0030205,              0.0030205
                    144,                0.33703,                0.22779,                0.84427,                0.97906,                0.94668,                0.97424,                0.92029,                0.27169,                0.17755,                0.85238,               0.002971,               0.002971,               0.002971
                    145,                0.33149,                0.22593,                 0.8382,                0.97295,                0.94939,                0.97147,                0.91749,                0.26944,                0.18012,                0.85592,              0.0029215,              0.0029215,              0.0029215
                    146,                0.33308,                0.22601,                0.84186,                0.96859,                0.95167,                0.97195,                0.91696,                0.27488,                0.17765,                0.85271,               0.002872,               0.002872,               0.002872
                    147,                0.32548,                0.22215,                0.83899,                0.97602,                0.95856,                 0.9743,                0.92135,                0.26394,                0.16857,                0.85139,              0.0028225,              0.0028225,              0.0028225
                    148,                0.33165,                0.22617,                0.83811,                0.97542,                0.95376,                0.97259,                0.91603,                0.26869,                0.17464,                 0.8533,               0.002773,               0.002773,               0.002773
                    149,                0.33088,                0.22426,                0.83874,                0.97248,                0.95684,                 0.9729,                0.91788,                0.27283,                0.17585,                0.85289,              0.0027235,              0.0027235,              0.0027235
                    150,                0.34077,                0.22993,                0.84153,                 0.9814,                0.94929,                0.97276,                0.91948,                0.26458,                0.17377,                0.85198,               0.002674,               0.002674,               0.002674
                    151,                0.33419,                0.22473,                 0.8385,                0.97418,                0.95679,                0.97413,                0.92191,                0.25954,                0.17143,                0.85045,              0.0026245,              0.0026245,              0.0026245
                    152,                0.32949,                0.22117,                0.83736,                0.98165,                0.95399,                 0.9731,                0.92109,                0.26693,                0.17457,                0.85347,               0.002575,               0.002575,               0.002575
                    153,                0.32481,                0.22252,                0.83899,                0.97122,                0.95713,                0.97293,                0.91915,                0.25888,                0.17058,                 0.8515,              0.0025255,              0.0025255,              0.0025255
                    154,                0.34192,                0.22762,                0.84229,                0.97607,                  0.949,                0.97353,                0.92199,                0.26304,                0.17446,                0.84967,               0.002476,               0.002476,               0.002476
                    155,                0.32561,                0.22141,                0.83905,                0.97804,                0.94788,                0.97233,                0.91864,                0.25778,                0.17178,                0.85096,              0.0024265,              0.0024265,              0.0024265
